Country,Availability
Philippines,Yes
Philippines,Yes
Poland,Yes
Poland,Yes
Poland,Yes
Portugal,Yes
Portugal,Yes
Portugal,Yes
Portugal,Yes
Qatar,Yes
Qatar,Yes
Qatar,Yes
Romania,Yes
Romania,Yes
Romania,Yes
Romania,Yes
Russia,Yes
Russia,Yes
Russia,Yes
Russia,Yes
Rwanda,No
Rwanda,No
Saint Kitts and Nevis,Yes
Saint Kitts and Nevis,Yes
Saint Kitts and Nevis,Yes
Saint Kitts and Nevis,Yes
Saint Lucia,Yes
Saint Lucia,Yes
Saint Lucia,Yes
Saint Vincent and the Grenadines,No
Saint Vincent and the Grenadines,No
Saint Vincent and the Grenadines,No
Saint Vincent and the Grenadines,No
Samoa,No
Samoa,No
Samoa,No
Samoa,No
San Marino,Yes
San Marino,Yes
San Marino,Yes
San Marino,Yes
Sao Tome and Principe,No
Saudi Arabia,Yes
Saudi Arabia,Yes
Saudi Arabia,Yes
Saudi Arabia,Yes
Senegal,Yes
Senegal,Yes
Senegal,Yes
Serbia,Yes
Serbia,Yes
Serbia,Yes
Seychelles,No
Seychelles,No
Sierra Leone,No
Sierra Leone,No
Singapore,Yes
Sint Maarten (Dutch part),No
Slovakia,Yes
Slovakia,Yes
Slovakia,Yes
Slovakia,Yes
Slovenia,Yes
Slovenia,Yes
Slovenia,Yes
Slovenia,Yes
Solomon Islands,No
Solomon Islands,No
Solomon Islands,No
Somalia,No
Somalia,No
South Africa,Yes
South Africa,Yes
South Africa,Yes
South Korea,Yes
South Korea,Yes
South Korea,Yes
South Korea,Yes
Spain,Yes
Spain,Yes
Spain,Yes
Spain,Yes
Sri Lanka,Yes
Sri Lanka,No
Sri Lanka,No
Sri Lanka,Yes
Suriname,Yes
Suriname,Yes
Suriname,Yes
Suriname,Yes
Sweden,Yes
Sweden,Yes
Sweden,Yes
Sweden,Yes
Switzerland,Yes
Switzerland,Yes
Switzerland,Yes
Switzerland,Yes
Syria,No
Syria,Yes
Syria,Yes
Syria,Yes
Tajikistan,No
Tajikistan,No
Tajikistan,No
Tajikistan,Yes
Tanzania,No
Thailand,Yes
Thailand,Yes
Thailand,Yes
Thailand,Yes
Togo,Yes
Togo,Yes
Togo,Yes
Togo,Yes
Tonga,No
Tonga,No
Tonga,Yes
Trinidad and Tobago,Yes
Trinidad and Tobago,Yes
Trinidad and Tobago,Yes
Trinidad and Tobago,Yes
Tunisia,Yes
Tunisia,Yes
Tunisia,Yes
Tunisia,Yes
Turkey,Yes
Turkey,Yes
Turkmenistan,Yes
Turkmenistan,Yes
Turkmenistan,Yes
Turkmenistan,Yes
Turks and Caicos Islands,Yes
Turks and Caicos Islands,Yes
Turks and Caicos Islands,Yes
Turks and Caicos Islands,Yes
Tuvalu,No
Tuvalu,No
Ukraine,Yes
Ukraine,Yes
Ukraine,Yes
Ukraine,Yes
United Arab Emirates,Yes
United Arab Emirates,Yes
United Arab Emirates,Yes
United Arab Emirates,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United Kingdom,Yes
United States of America,Yes
United States of America,Yes
United States of America,Yes
Uruguay,Yes
Uruguay,Yes
Uruguay,Yes
Uruguay,Yes
Uzbekistan,Yes
Uzbekistan,Yes
Uzbekistan,Yes
Uzbekistan,Yes
Vanuatu,No
Vanuatu,No
Vanuatu,No
Vanuatu,No
Venezuela,No
Venezuela,No
Venezuela,Yes
Venezuela,Yes
Vietnam,Yes
Vietnam,Yes
Vietnam,Yes
Vietnam,Yes
Wallis and Futuna,Yes
Yemen,No
Yemen,No
Yemen,No
Yemen,No
Zambia,No
Zambia,No
Zambia,No
Zimbabwe,No
Zimbabwe,No
Zimbabwe,Yes
