Country,Year,ANTIGEN,COVERAGE_CATEGORY,COVERAGE_CATEGORY_DESCRIPTION,COVERAGE
Antigua and Barbuda,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Argentina,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,84
Armenia,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,93
Australia,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,94
Austria,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,84
Azerbaijan,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,83
Bahamas,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,87
Bahrain,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
Bangladesh,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Barbados,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,86
Belarus,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Belgium,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Belize,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,84
Benin,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,69
Bhutan,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Bolivia (Plurinational State of),2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,69
Bosnia and Herzegovina,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,75
Botswana,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,86
Brazil,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,77
Brunei Darussalam,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Bulgaria,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,91
Burkina Faso,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,93
Burundi,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,91
Cabo Verde,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,93
Cambodia,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,85
Cameroon,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,71
Canada,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,92
Central African Republic,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,42
Chad,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,60
Chile,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
China,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Colombia,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,87
Comoros,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,78
Congo,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,78
Cook Islands,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,72
Costa Rica,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
Côte d'Ivoire,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,73
Croatia,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,92
Cuba,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Cyprus,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
Czechia,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,94
Democratic People's Republic of Korea,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,0
Democratic Republic of the Congo,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,65
Denmark,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
Djibouti,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,59
Dominica,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,82
Dominican Republic,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,88
Ecuador,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,70
Egypt,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
El Salvador,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
Equatorial Guinea,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,70
Eritrea,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
Estonia,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,90
Eswatini,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,97
Ethiopia,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,65
Fiji,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Finland,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,91
France,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
Gabon,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,60
Gambia,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,79
Georgia,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,85
Germany,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,91
Ghana,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Greece,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Grenada,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,77
Guatemala,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,81
Guinea,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,47
Guinea-Bissau,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,74
Guyana,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Haiti,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,51
Honduras,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,78
Hungary,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Iceland,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,92
India,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,93
Indonesia,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,91
Iran (Islamic Republic of),2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Iraq,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,93
Ireland,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,93
Israel,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Italy,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,95
Jamaica,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,98
Japan,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Jordan,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,92
Kazakhstan,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,99
Kenya,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,94
Kiribati,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,91
Kuwait,2022,DTPCV3,WUENIC,WHO/UNICEF Estimates of National Immunization Coverage,96
