Entity,Effectiveness,Importance,Population,Continent
Serbia and Montenegro,,,,Europe
Serbia excluding Kosovo,,,,Europe
Seychelles,,,107247,Africa
Sierra Leone,,,7037659,Africa
Singapore,,,5525343,Asia
Sint Maarten (Dutch part),,,37488,North America
Slovakia,,,5420279,Europe
Slovenia,16.4,13.2,2059947,Europe
Solomon Islands,,,639423,Oceania
Somalia,,,13806969,Africa
Somaliland,,,,Africa
South Africa,9.9,6.4,56723537,Africa
South Georgia and the South Sandwich Islands,,,,South America
South Korea,6.4,4.7,50983908,Asia
South Ossetia,,,,Asia
South Sudan,,,11107569,Africa
Spain,7.1,5.8,46683683,Europe
Sri Lanka,,,21729974,Asia
Sudan,,,40024436,Africa
Suriname,,,581633,South America
Svalbard and Jan Mayen,,,2400,Europe
Sweden,5.9,4.3,9799482,Europe
Switzerland,,,8283940,Europe
Syria,,,19424615,Asia
Taiwan,,,23529259,Asia
Tajikistan,,,8643839,Asia
Tanzania,,,52020959,Africa
Thailand,6.5,2.1,70540790,Asia
Togo,,,7663199,Africa
Tokelau,,,1719,Oceania
Tonga,,,106111,Oceania
Transnistria,,,,Europe
Trinidad and Tobago,,,1429189,North America
Tunisia,4.3,1.9,11402270,Africa
Turkey,8.3,3.6,80014221,Asia
Turkmenistan,,,6215775,Asia
Turks and Caicos Islands,,,36632,North America
Tuscany,,,,Europe
Tuvalu,,,10984,Oceania
Two Sicilies,,,,Europe
USSR,,,,Europe
Uganda,,,37531444,Africa
Ukraine,15.4,12.2,45784903,Europe
United Arab Emirates,,,8674629,Asia
United Kingdom,7,5.7,65382107,Europe
United States,9.6,8.8,326126498,North America
United States Minor Outlying Islands,,,,Oceania
United States Virgin Islands,,,100250,North America
Uruguay,,,3368022,South America
Uzbekistan,,,30749349,Asia
Vanuatu,,,266116,Oceania
Vatican,,,579,Europe
Venezuela,,,30573970,South America
Vietnam,4.6,0.7,92823254,Asia
Wallis and Futuna,,,12185,Oceania
West Germany,,,,Europe
Western Sahara,,,486230,Africa
Wuerttemburg,,,,Europe
Yemen,,,31159379,Asia
Yemen Arab Republic,,,,Asia
Yemen People's Republic,,,,Asia
Yugoslavia,,,,Europe
Zambia,,,16399090,Africa
Zanzibar,,,,Africa
Zimbabwe,,,14399009,Africa
